Month,Cement,Steel Reinforcement Bars,Granite,Ready-Mixed Concrete,Material Sum
  1999 Jan,412.6,92.8,1717.7,801.5,2223
  1999 Feb,312.5,84.3,1644.6,668,2041.3
  1999 Mar,456.2,111.1,1895.7,836.4,2463
  1999 Apr,456.7,81.8,1692.5,847,2231
  1999 May,452.3,100.2,1680.4,786.7,2232.8
  1999 Jun,439.7,88.7,1800.6,855,2329.1
  1999 Jul,416.6,113.9,1930.2,858,2460.6
  1999 Aug,423.8,108.7,1551,828.6,2083.5
  1999 Sep,436.4,111.9,1671.2,823.1,2219.5
  1999 Oct,461,69.6,1541.1,774.7,2071.7
  1999 Nov,305.6,130,1403.6,774.2,1839.1
  1999 Dec,423.5,72,1525.6,858.7,2021.1
  2000 Jan,461.4,134.2,1387.5,786.8,1983.1
  2000 Feb,290.8,71.4,1198,632.8,1560.2
  2000 Mar,486,108.4,1640.1,873.3,2234.4
  2000 Apr,353.9,82.8,1600.6,808.7,2037.3
  2000 May,416.4,123.6,1668,882.8,2208
  2000 Jun,420.7,70.3,1631.5,845.5,2122.5
  2000 Jul,418.6,99.5,1545.1,865.5,2063.1
  2000 Aug,450.5,108,1489.3,842.4,2047.7
  2000 Sep,394.9,58.2,1499,819.4,1952
  2000 Oct,338.4,85.9,1498.1,806.6,1922.3
  2000 Nov,310,66.2,1438.1,789.7,1814.3
  2000 Dec,394.2,52.6,1193,732.7,1639.8
  2001 Jan,274.2,44.4,1145.1,578.6,1463.7
  2001 Feb,365.2,39,1348.3,664.4,1752.6
  2001 Mar,381,74.6,1503,731.9,1958.5
  2001 Apr,355.1,77.3,1272.6,665,1705
  2001 May,302.2,88.6,1459.5,698.1,1850.2
  2001 Jun,322.4,63.3,1459.8,713.8,1845.4
  2001 Jul,430,56.9,1476.9,700.7,1963.8
  2001 Aug,298.7,43.7,1355.3,639.5,1697.8
  2001 Sep,376,62.7,1414.6,709.9,1853.3
  2001 Oct,417.4,82.7,1655.7,737.8,2155.7
  2001 Nov,329.2,45.5,1349.2,700.9,1723.9
  2001 Dec,337,87,1281.6,690.7,1705.5
  2002 Jan,301.7,70.1,1400.2,717.5,1772
  2002 Feb,212,23.1,1072.7,535.5,1307.8
  2002 Mar,384.8,77.4,1427.5,781.6,1889.7
  2002 Apr,343.6,55,1375.9,728.9,1774.5
  2002 May,287.9,62.4,1342.5,700.8,1692.8
  2002 Jun,271.9,65.9,1239.1,720.5,1576.9
  2002 Jul,297.3,66.6,1332.2,716.9,1696.1
  2002 Aug,381,82.5,1164,699.4,1627.5
  2002 Sep,263,113.9,1094.1,697.6,1471
