genre,count
acid house,6
ambient house,7
big beat,105
hip house,123
dance pop,4362
miami hip hop,304
pop,6089
album rock,1036
art rock,358
british invasion,349
classic rock,1563
folk rock,747
glam rock,285
protopunk,89
psychedelic rock,386
rock,3760
singer-songwriter,825
soft rock,1258
yacht rock,167
electropop,1305
etherpop,100
indie poptimism,917
pop r&b,339
mellow gold,1265
piano rock,295
glam metal,169
hard rock,721
heartland rock,440
canadian pop,619
viral pop,408
east coast hip hop,403
golden age hip hop,91
hip hop,3296
old school hip hop,87
queens hip hop,185
rap,3975
alternative metal,1127
nu metal,794
post-grunge,564
beatlesque,214
bubblegum pop,241
rock-and-roll,465
sunshine pop,83
singer-songwriter pop,63
uk pop,543
nederpop,15
australian pop,679
australian talent show,161
disco,374
hi-nrg,60
glee club,86
post-teen pop,1368
britpop,72
c86,10
madchester,55
scottish indie,22
lovers rock,79
old school dancehall,41
reggae,159
reggae fusion,343
roots reggae,124
new wave pop,724
soul,747
candy pop,171
neon pop punk,286
pixie,130
pop emo,219
pop punk,817
brill building pop,270
merseybeat,227
adult standards,961
easy listening,227
lounge,244
rockabilly,280
australian dance,379
new romantic,417
country rock,728
neo mellow,1190
complextro,160
edm,1507
german techno,76
pop dance,1207
art pop,756
alternative rock,1131
funk metal,143
funk rock,172
permanent wave,1190
australian indigenous,57
australian rock,616
british soul,154
australian alternative pop,16
australian r&b,27
australian singer-songwriter,13
classic country pop,124
truck-driving country,1
british blues,102
neo soul,743
r&b,1953
urban contemporary,1728
pop rap,3507
bergen indie,6
nz pop,76
british folk,35
folk,440
freakbeat,14
motown,409
detroit hip hop,176
europop,296
girl group,210
talent show,329
viral trap,34
new wave,395
ska,54
ska revival,5
novelty,25
pop rock,2115
canadian singer-songwriter,76
classic canadian rock,75
boy band,408
dancehall,173
australian americana,7
australian country,74
contemporary r&b,687
progressive electro house,282
pop edm,328
quiet storm,635
baroque pop,291
g funk,189
gangster rap,1260
west coast rap,321
big room,169
sophisti-pop,88
synthpop,260
canadian contemporary r&b,156
alt z,279
trap,2216
house,364
uk dance,290
jamaican hip hop,3
traphall,2
colombian pop,82
latin pop,368
barbadian pop,104
arkansas country,88
outlaw country,213
country,1765
metropopolis,682
modern rock,2279
dancefloor dnb,35
drum and bass,36
jangle pop,19
melancholia,247
solo wave,21
new orleans rap,107
hip pop,972
sad lo-fi,4
